,text,timestamp_ms,id,user.id,user.screen_name,hashtag,clean_text
74,@mrbradgoreski So happy to see you on the red carpet!  Did you style anyone today? You all look amaze! #ERedCarpet #GoldenGlobes,1421015123503,554403727025897472,18735431,PR_Kristin,"['ERedCarpet', 'GoldenGlobes']",so happy to see you on the red carpet! did you style anyone today? you all look amaze!
75,RT @FashionO_Xo: Less than an hour until Red carpet begins! Follow my Instagram: fashionoverdosexo for coverage!! #GoldenGlobes http://t.co…,1421015123829,554403728393248768,189549302,Tori_Jetsetter,['GoldenGlobes'],: less than an hour until red carpet begins! follow my instagram: fashionoverdosexo for coverage!!
76,RT @THR: #GoldenGlobes: Drone to Be Used on Red Carpet http://t.co/1rvnjB6Jlf http://t.co/kPdZj1TTJr,1421015123879,554403728602988548,851142654,NordicMezzo,['GoldenGlobes'],: : drone to be used on red carpet
77,at least there's sab so we're gg to sch tgt and not alone,1421015124372,554403730670366720,388299818,_fashy,[],at least there's sab so we're gg to sch tgt and not alone
78,RT @AmirArison: Tonight on @nbc rooting for #JamesSpader @goldenglobes representing @NBCBlacklist !!#Mr.Reddington,1421015124383,554403730716516352,1060747356,Obbie_316,"['JamesSpader', 'Mr']",: tonight on rooting for representing !!.reddington
79,RT @twerkingqueenmc: @goldenglobes miley and patrick,1421015124440,554403730955591680,383270039,20brianda,[],: miley and patrick
80,RT @DestinyWesley: So excited to see what @jlo is gonna be wearing tonight 😱💄💅👠 this is my favourite #goldenglobes look so far 👸 http://t.c…,1421015124632,554403731761291265,566795599,lola_wanda,['goldenglobes'],: so excited to see what is gonna be wearing tonight this is my favourite look so far
81,"RT @booth1: Who will wear Oscar de la Renta to #GoldenGlobes like Amy? A gown by late, great designer could be sweetly nostalgic. http://t.…",1421015124690,554403732004159489,34139390,GeorgiaNicole_,['GoldenGlobes'],": who will wear oscar de la renta to like amy? a gown by late, great designer could be sweetly nostalgic. ."
82,OK Friends-- Play a game With Me Download The Golden Globes Ballot Fill It Out &amp; Take a Pic Or Scan &amp; Post the... http://t.co/esEz4LAaP2,1421015124748,554403732247822336,1228832928,Anawana_Inc,[],ok friends-- play a game with me download the golden globes ballot fill it out &amp; take a pic or scan &amp; post the...
83,@tbhcaitlynn Aww well gg I can normally go about a week then its messy,1421015124762,554403732306538496,101828875,bazzahoward,[],aww well gg i can normally go about a week then its messy
84,Been looking forward to this nightttttttttt #GoldenGlobes 🍸🍸🍸🍸🍸🍸🍸,1421015124802,554403732474331137,31625962,kimcata,['GoldenGlobes'],been looking forward to this nightttttttttt
85,@JeromeASF er yeah gg,1421015124866,554403732742737920,1228432957,JordanneJay,[],er yeah gg
86,"RT @goldenglobes: Creating multiple mini Moët Moments on the @goldenglobes red carpet… 
#MoetMoment http://t.co/MN4knutPIU",1421015125092,554403733690679297,17187236,12News,['MoetMoment'],: creating multiple mini mot moments on the red carpet
87,RT @goldenglobes: We spotted the guys from #Entourage on the #GoldenGlobes #redcarpet in a Hollywood #meta moment. http://t.co/ih6lqkVIuc,1421015125142,554403733899997185,315161628,stinglove002319,"['Entourage', 'GoldenGlobes', 'redcarpet', 'meta']",: we spotted the guys from on the in a hollywood moment.
88,hey martin how you so cute excuse me http://t.co/q039AivUnV,1421015125195,554403734122663937,1311224874,rememberdonna,[],hey martin how you so cute excuse me
89,@rawillow2202 @KLB1204 @XO_BB_XO @junered619 @50shadesworld @50Latersbaby @emlight60 red carpet soon!,1421015125461,554403735238373376,1947711936,lil_caribou,[],red carpet soon!
90,"RT @ENews: Show us how you're watching the #GoldenGlobes -- tweet us a pic of your set up, we'll RT our faves! #ERedCarpet",1421015125548,554403735603281920,2637516984,aanistoncox,"['GoldenGlobes', 'ERedCarpet']",": show us how you're watching the -- tweet us a pic of your set up, we'll rt our faves!"
91,#GoldenGlobes night.,1421015125741,554403736412381184,33738691,ThisIsSillySeb,['GoldenGlobes'],night.
92,I'm excited to see the fashion on the red carpet tonight! #fashion #GoldenGlobes #celebs #style #RedCarpet,1421015125775,554403736554975232,257310141,kristinamcmanus,"['fashion', 'GoldenGlobes', 'celebs', 'style', 'RedCarpet']",i'm excited to see the fashion on the red carpet tonight!
93,RT @eonline: The Entourage cast is filming on the Golden Globes carpet--so cool! #ERedCarpet http://t.co/XsowmTUSub,1421015125957,554403737318723585,248609341,jeetkotedia,['ERedCarpet'],: the entourage cast is filming on the golden globes carpet--so cool!
94,RT @eonline: The Entourage cast is filming on the Golden Globes carpet--so cool! #ERedCarpet http://t.co/XsowmTUSub,1421015126019,554403737578786817,56003448,Jessicamaas,['ERedCarpet'],: the entourage cast is filming on the golden globes carpet--so cool!
95,#mood - Laid out waiting to watch the Golden Globes #Goodluck #Selma @avaetc @common @johnlegend 💫🏆🙏 http://t.co/HFghgt2P7Y,1421015126148,554403738119839745,18121619,EstelleDarlings,"['mood', 'Goodluck', 'Selma']",- laid out waiting to watch the golden globes
96,RT @ReasonsMark: @MarkSalling at the Golden Globes! http://t.co/zwK7c0MHWz,1421015126197,554403738325381120,1664871318,Beatingheeart,[],: at the golden globes!
97,going to take a nap bc I think I'm going to be really tired in the morning be back shortly before golden globes start,1421015126221,554403738426019840,2774721503,foxxayhutch,[],going to take a nap bc i think i'm going to be really tired in the morning be back shortly before golden globes start
98,@goldenglobes I WANNA SEE @jaimecamil !,1421015126360,554403739009024002,115143304,accioanapaula,[],i wanna see !
99,RT @msleamichele: So excited for the #GoldenGlobes today! Looking back on dresses from years past! #GoldenGlobes2015 http://t.co/zFi6AohzGq,1421015126598,554403740007288833,2300752870,emily__sessa,"['GoldenGlobes', 'GoldenGlobes2015']",: so excited for the today! looking back on dresses from years past!
100,RT @EstelleDarlings: #mood - Laid out waiting to watch the Golden Globes #Goodluck #Selma @avaetc @common @johnlegend 💫🏆🙏 http://t.co/HFghg…,1421015126788,554403740804206592,2858393213,ichangemymood,"['mood', 'Goodluck', 'Selma']",: - laid out waiting to watch the golden globes
101,"RT @TheIndyFilm: Follow our Golden Globes 2015 live blog here for all the news, pics and gossip http://t.co/HzswE6DGx4 http://t.co/mPOe7Seh…",1421015126833,554403740992950273,2853818308,behrouzi63,[],": follow our golden globes live blog here for all the news, pics and gossip"
102,Golden Globes tonight!!! ,1421015127056,554403741927882754,572345463,TivaLover4ever,[],golden globes tonight!!!
103,RT @common: I'm so excited and blessed!! #GoldenGlobes @selmamovie http://t.co/VqyvI3LzDT,1421015127120,554403742196723712,265503318,yardiegirl19,['GoldenGlobes'],: i'm so excited and blessed!!
104,"RT @beverlyhilton: Tweet who you want to see on the @goldenglobes #RedCarpet, for a chance to be seen here! #BehindTheScenes #Access #HomeO…",1421015127135,554403742259630082,314750600,CinemaMag,"['RedCarpet', 'BehindTheScenes', 'Access', 'HomeO']",": tweet who you want to see on the , for a chance to be seen here!"
105,You guys can watch along live and give your opinions on the red carpet looks too! I'll be tweeting what I think of the looks! :),1421015127482,554403743715057665,24703488,TheBeautycrush,[],you guys can watch along live and give your opinions on the red carpet looks too! i'll be tweeting what i think of the looks!
106,"@LaurenK611 oh but talking about the seats?
I saw the pictures in the golden globes' instagram!",1421015127611,554403744256098306,293879703,MaluSansi,[],oh but talking about the seats?i saw the pictures in the golden globes' instagram!
107,RT @SkybarLA: Don't miss the 72nd #GoldenGlobes here in the Skybar viewing suites! Sounds by @lolalangusta! http://t.co/PPlxwzux4j http://t…,1421015127628,554403744327036928,131302950,MondrianLA,['GoldenGlobes'],: don't miss the nd here in the skybar viewing suites! sounds by !
108,"Dallas Cowboys
  Golden Globes 2015
  Anita Ekberg
  Rex Ryan
  Chris Brown
  Patriots
  Seahawks
  Green Bay ...  http://t.co/RXzXrL71k0",1421015127966,554403745744699392,249619822,g00gletrends,[],dallas cowboys golden globes anita ekberg rex ryan chris brown patriots seahawks green bay ...
109,"Currently Trending: Dallas Cowboys, Golden Globes 2015, Anita Ekberg, Rex Ryan, ...  on Google Search.",1421015127978,554403745795022848,396836528,GSearchTrends,[],"currently trending: dallas cowboys, golden globes , anita ekberg, rex ryan, ... on google search."
110,"THE; ""IT"" #STYLIST: Brad GORESKI*
  
#GoldenGlobes 
#ERedCarpet 
#Redcarpetgoldenglobes 
#RedCarpet 
@mrbradgoreski  
 
;)",1421015127998,554403745879314432,179837404,MISSCOOKIE1223,"['STYLIST', 'GoldenGlobes', 'ERedCarpet', 'Redcarpetgoldenglobes', 'RedCarpet']","the; ""it"" : brad goreski*"
111,"Viral on Google: Dallas Cowboys
  Golden Globes 2015
  Anita Ekberg
  Rex Ryan
  Chris Brown
  Patriots
  Seaha...",1421015128009,554403745925042176,1656459614,ViralNgayon,[],viral on google: dallas cowboys golden globes anita ekberg rex ryan chris brown patriots seaha...
112,"Dallas Cowboys
  Golden Globes 2015
  Anita Ekberg
  Rex Ryan
  Chris Brown
  Patriots
 ...  http://t.co/1dr4S9IFyE",1421015128059,554403746134753280,2849633188,ibackfollower,[],dallas cowboys golden globes anita ekberg rex ryan chris brown patriots ...
113,@TheRealAdamSays  @Traceyeedmonds you both look great. Have fun out there. I'll be watching @extratv #GoldenGlobes,1421015128289,554403747099869184,2891760913,BecomingYouLife,['GoldenGlobes'],you both look great. have fun out there. i'll be watching
114,"#AlfombraRojaE he is so exited about this, the next mathew perry in the golden globes, his best dream in the world!!! http://t.co/ShepJLFMTs",1421015128297,554403747133394944,369678332,victoriapea17,['AlfombraRojaE'],"he is so exited about this, the next mathew perry in the golden globes, his best dream in the world!!!"
115,RT @ELLEmagazine: 10 absolutely *PRICELESS* drunk moments at the #GoldenGlobes: http://t.co/7KRKrgcDje http://t.co/wEslk6qbpY,1421015128434,554403747707621376,427916368,bripal98,['GoldenGlobes'],: absolutely *priceless* drunk moments at the :
116,"Good luck at the #GoldenGlobes #GoneGirl 

“@trent_reznor: Actually leaving the house... http://t.co/A4JuyiIErE”",1421015128528,554403748101881856,17240480,Twiggystar,"['GoldenGlobes', 'GoneGirl']",good luck at the : actually leaving the house...
117,RT @InStyle: See the most-memorable #GoldenGlobes beauty looks EVER: http://t.co/KpwYWEzQ8l http://t.co/8RpQiSpPug,1421015128710,554403748865658880,616946923,HandbagHell,['GoldenGlobes'],: see the most-memorable beauty looks ever:
118,hey the golden globe red carpet starts in 10 mins,1421015128870,554403749536333825,113274131,IStanMileyCyrus,[],hey the golden globe red carpet starts in mins
119,So neat knowing the #GoldenGlobes are taking place right down the street from me!! When I'm invited next year I will walk over in my gown!,1421015128934,554403749804797953,1126670268,DrakeStephanieM,['GoldenGlobes'],so neat knowing the are taking place right down the street from me!! when i'm invited next year i will walk over in my gown!
120,RT @goldenglobes: The #GoldenGlobes #RedCarpet is open! Here they come...,1421015129070,554403750375604225,411054899,lokiitita,"['GoldenGlobes', 'RedCarpet']",: the is open! here they come...
121,RT @chiumelo: They don't mess around at the @goldenglobes. #goldenglobes #moet http://t.co/xZSTqQ8Tbg,1421015129150,554403750711160834,22173930,msjanicemorris,"['goldenglobes', 'moet']",: they don't mess around at the .
